,OR,CI_low,CI_hi,p
const,0.0212,0.0203,0.0221,0.0
HOUR,1.038,1.0361,1.04,0.0
IS_WEEKEND,0.9897,0.9651,1.0149,0.419
SEASON,1.2061,1.194,1.2184,0.0
ERA_COVID,2.6908,2.5995,2.7854,0.0
ERA_Post-COVID,2.3559,2.3004,2.4128,0.0
CF_Yield Failure,1.606,1.5572,1.6564,0.0
CF_Speed,1.2207,1.1763,1.2668,0.0
CF_Alcohol/Drugs,0.4552,0.4111,0.504,0.0
CF_Following,0.4157,0.4018,0.43,0.0
CF_Fatigue,0.1501,0.1142,0.1973,0.0
CF_Vehicle Defect,0.4824,0.4537,0.513,0.0
CF_Pedestrian/Bike,12.4624,11.9369,13.0109,0.0
BORO_BRONX,0.4046,0.389,0.4208,0.0
BORO_BROOKLYN,0.7218,0.7023,0.7418,0.0
BORO_QUEENS,0.4117,0.399,0.4248,0.0
BORO_STATEN ISLAND,0.1874,0.1723,0.2037,0.0
